face	op	n	ms
rust	matmul	64	0.010179
rust	matmul	256	0.402236
rust	matmul	1024	21.365406
rust	solve	64	0.078672
rust	solve	256	1.420701
rust	solve	1024	26.635354
rust	elem_add	64	0.001655
rust	elem_add	256	0.031368
rust	elem_add	1024	1.327872
lua	matmul	64	0.016450
lua	matmul	256	0.402441
lua	matmul	1024	23.797484
lua	solve	64	0.063755
lua	solve	256	1.111888
lua	solve	1024	32.969858
lua	elem_add	64	0.004554
lua	elem_add	256	0.053980
lua	elem_add	1024	3.748201
numpy	matmul	64	0.009617
numpy	matmul	256	0.523417
numpy	matmul	1024	17.139000
numpy	solve	64	0.035672
numpy	solve	256	0.663143
numpy	solve	1024	27.642550
numpy	elem_add	64	0.001719
numpy	elem_add	256	0.042415
numpy	elem_add	1024	1.076387
